"","Symbol","Bid.Price","Ask.Price","High","Low","TimeStamp"
"14937","EUR/USD",1.12234,1.12239,1.12329,1.12057,2020-06-26 04:48:02
"14938","EUR/USD",1.12227,1.12231,1.12329,1.12057,2020-06-26 04:49:06
"14939","EUR/USD",1.12224,1.12231,1.12329,1.12057,2020-06-26 04:50:07
"14940","EUR/USD",1.12233,1.12238,1.12329,1.12057,2020-06-26 04:51:09
"14941","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 04:52:10
"14942","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 04:53:13
"14943","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 04:54:13
"14944","EUR/USD",1.12236,1.12241,1.12329,1.12057,2020-06-26 04:55:15
"14945","EUR/USD",1.12237,1.12241,1.12329,1.12057,2020-06-26 04:56:17
"14946","EUR/USD",1.1223,1.12234,1.12329,1.12057,2020-06-26 04:57:17
"14947","EUR/USD",1.12241,1.12247,1.12329,1.12057,2020-06-26 04:58:20
"14948","EUR/USD",1.12226,1.12231,1.12329,1.12057,2020-06-26 04:59:22
"14949","EUR/USD",1.12248,1.12252,1.12329,1.12057,2020-06-26 05:00:23
"14950","EUR/USD",1.1225,1.12255,1.12329,1.12057,2020-06-26 05:01:25
"14951","EUR/USD",1.12227,1.12231,1.12329,1.12057,2020-06-26 05:02:28
"14952","EUR/USD",1.1223,1.12234,1.12329,1.12057,2020-06-26 05:03:29
"14953","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 05:04:31
"14954","EUR/USD",1.12243,1.12248,1.12329,1.12057,2020-06-26 05:05:30
"14955","EUR/USD",1.12244,1.12248,1.12329,1.12057,2020-06-26 05:06:34
"14956","EUR/USD",1.12244,1.12248,1.12329,1.12057,2020-06-26 05:07:36
"14957","EUR/USD",1.1224,1.12245,1.12329,1.12057,2020-06-26 05:08:38
"14958","EUR/USD",1.12238,1.12241,1.12329,1.12057,2020-06-26 05:09:38
"14959","EUR/USD",1.1223,1.12235,1.12329,1.12057,2020-06-26 05:10:40
"14960","EUR/USD",1.1223,1.12235,1.12329,1.12057,2020-06-26 05:11:42
"14961","EUR/USD",1.12229,1.12231,1.12329,1.12057,2020-06-26 05:12:44
"14962","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 05:13:46
"14963","EUR/USD",1.12227,1.12234,1.12329,1.12057,2020-06-26 05:14:48
"14964","EUR/USD",1.12233,1.12237,1.12329,1.12057,2020-06-26 05:15:49
"14965","EUR/USD",1.12231,1.12237,1.12329,1.12057,2020-06-26 05:16:49
"14966","EUR/USD",1.1222,1.12224,1.12329,1.12057,2020-06-26 05:17:51
"14967","EUR/USD",1.1222,1.12225,1.12329,1.12057,2020-06-26 05:18:53
"14968","EUR/USD",1.1222,1.12228,1.12329,1.12057,2020-06-26 05:19:55
"14969","EUR/USD",1.12221,1.12227,1.12329,1.12057,2020-06-26 05:20:57
"14970","EUR/USD",1.12224,1.1223,1.12329,1.12057,2020-06-26 05:22:00
"14971","EUR/USD",1.12223,1.1223,1.12329,1.12057,2020-06-26 05:23:01
"14972","EUR/USD",1.1222,1.12225,1.12329,1.12057,2020-06-26 05:24:03
"14973","EUR/USD",1.1222,1.12227,1.12329,1.12057,2020-06-26 05:25:04
"14974","EUR/USD",1.1222,1.12225,1.12329,1.12057,2020-06-26 05:26:07
"14975","EUR/USD",1.12223,1.12228,1.12329,1.12057,2020-06-26 05:27:07
"14976","EUR/USD",1.12223,1.1223,1.12329,1.12057,2020-06-26 05:28:10
"14977","EUR/USD",1.12229,1.12234,1.12329,1.12057,2020-06-26 05:29:11
"14978","EUR/USD",1.12236,1.12241,1.12329,1.12057,2020-06-26 05:30:13
"14979","EUR/USD",1.1224,1.12245,1.12329,1.12057,2020-06-26 05:31:15
"14980","EUR/USD",1.12236,1.12241,1.12329,1.12057,2020-06-26 05:32:16
"14981","EUR/USD",1.12233,1.12238,1.12329,1.12057,2020-06-26 05:33:17
"14982","EUR/USD",1.12229,1.12232,1.12329,1.12057,2020-06-26 05:34:20
"14983","EUR/USD",1.12227,1.12231,1.12329,1.12057,2020-06-26 05:35:21
"14984","EUR/USD",1.12229,1.12232,1.12329,1.12057,2020-06-26 05:36:22
"14985","EUR/USD",1.12224,1.12231,1.12329,1.12057,2020-06-26 05:37:25
"14986","EUR/USD",1.12227,1.12231,1.12329,1.12057,2020-06-26 05:38:27
"14987","EUR/USD",1.12227,1.12231,1.12329,1.12057,2020-06-26 05:39:26
"14988","EUR/USD",1.12227,1.12231,1.12329,1.12057,2020-06-26 05:40:30
"14989","EUR/USD",1.1221,1.12215,1.12329,1.12057,2020-06-26 05:41:31
"14990","EUR/USD",1.12213,1.12217,1.12329,1.12057,2020-06-26 05:42:32
"14991","EUR/USD",1.12216,1.12221,1.12329,1.12057,2020-06-26 05:43:35
"14992","EUR/USD",1.12216,1.12221,1.12329,1.12057,2020-06-26 05:44:35
"14993","EUR/USD",1.12206,1.12211,1.12329,1.12057,2020-06-26 05:45:37
"14994","EUR/USD",1.12206,1.12213,1.12329,1.12057,2020-06-26 05:46:40
"14995","EUR/USD",1.1222,1.12225,1.12329,1.12057,2020-06-26 05:47:41
"14996","EUR/USD",1.12221,1.12227,1.12329,1.12057,2020-06-26 05:48:41
"14997","EUR/USD",1.12226,1.12231,1.12329,1.12057,2020-06-26 05:49:45
"14998","EUR/USD",1.12226,1.12231,1.12329,1.12057,2020-06-26 05:50:45
"14999","EUR/USD",1.12212,1.12217,1.12329,1.12057,2020-06-26 05:51:48
"15000","EUR/USD",1.12203,1.12208,1.12329,1.12057,2020-06-26 05:52:49
"15001","EUR/USD",1.12213,1.12217,1.12329,1.12057,2020-06-26 05:53:51
"15002","EUR/USD",1.12209,1.12213,1.12329,1.12057,2020-06-26 05:54:53
"15003","EUR/USD",1.12212,1.12217,1.12329,1.12057,2020-06-26 05:55:54
"15004","EUR/USD",1.12204,1.12211,1.12329,1.12057,2020-06-26 05:56:56
"15005","EUR/USD",1.1221,1.12214,1.12329,1.12057,2020-06-26 05:57:58
"15006","EUR/USD",1.12206,1.12211,1.12329,1.12057,2020-06-26 05:59:00
"15007","EUR/USD",1.1221,1.12215,1.12329,1.12057,2020-06-26 06:00:02
"15008","EUR/USD",1.122,1.12203,1.12329,1.12057,2020-06-26 06:01:03
"15009","EUR/USD",1.12196,1.122,1.12329,1.12057,2020-06-26 06:02:05
"15010","EUR/USD",1.122,1.12204,1.12329,1.12057,2020-06-26 06:03:07
"15011","EUR/USD",1.12196,1.12201,1.12329,1.12057,2020-06-26 06:04:09
"15012","EUR/USD",1.122,1.12204,1.12329,1.12057,2020-06-26 06:05:10
"15013","EUR/USD",1.12183,1.1219,1.12329,1.12057,2020-06-26 06:06:11
"15014","EUR/USD",1.12177,1.12181,1.12329,1.12057,2020-06-26 06:07:13
"15015","EUR/USD",1.12175,1.1218,1.12329,1.12057,2020-06-26 06:08:14
"15016","EUR/USD",1.12155,1.1216,1.12329,1.12057,2020-06-26 06:09:16
"15017","EUR/USD",1.12159,1.12163,1.12329,1.12057,2020-06-26 06:10:19
"15018","EUR/USD",1.12141,1.12146,1.12329,1.12057,2020-06-26 06:11:20
"15019","EUR/USD",1.12162,1.12167,1.12329,1.12057,2020-06-26 06:12:22
"15020","EUR/USD",1.12162,1.12167,1.12329,1.12057,2020-06-26 06:13:23
"15021","EUR/USD",1.12172,1.12177,1.12329,1.12057,2020-06-26 06:14:24
"15022","EUR/USD",1.12158,1.12163,1.12329,1.12057,2020-06-26 06:15:26
"15023","EUR/USD",1.12156,1.12161,1.12329,1.12057,2020-06-26 06:16:28
"15024","EUR/USD",1.12141,1.12146,1.12329,1.12057,2020-06-26 06:17:30
"15025","EUR/USD",1.12149,1.12153,1.12329,1.12057,2020-06-26 06:18:31
"15026","EUR/USD",1.12135,1.1214,1.12329,1.12057,2020-06-26 06:19:32
"15027","EUR/USD",1.12122,1.12126,1.12329,1.12057,2020-06-26 06:20:34
"15028","EUR/USD",1.12124,1.12129,1.12329,1.12057,2020-06-26 06:21:36
